Year;Agriculture;Architecture;Art and Performance;Biology;Business;Communications and Journalism;Computer Science;Education;Engineering;English;Foreign Languages;Health Professions;Math and Statistics;Physical Sciences;Psychology;Public Administration;Social Sciences and History
1970;422979798;1192100539;597;2908836297;9064438975;353;136;7453532758;8;6557092343;738;771;38;138;444;684;368
1971;5452796685;1200310559;599;2939440285;9503186594;355;136;7414920369;1;6455648516;739;755;39;149;462;655;362
1972;742071022;1321459351;604;2981022105;105589621;366;149;7355451996;12;636642632;746;769;402;148;476;626;361
1973;9653602412;147916134;602;3114791477;1280460152;384;164;7350181443;16;6294150212;749;774;409;165;504;643;364
1974;1407462346;1744468758;619;3299618284;1620485038;405;189;7333681143;22;6241341209;753;779;418;182;526;661;373
1975;1833316153;1913404767;609;3444990213;1968624931;415;198;7280185448;32;6164720641;75;789;407;191;545;63;377
1976;2225276005;2139449143;613;3607287146;234300375;443;239;7216652471;45;6214819377;744;792;415;20;569;656;392
1977;246401766;2374054054;62;3833138629;2716342715;469;257;7245639481;68;6272306675;743;805;411;213;59;693;405
1978;2714619175;2584923973;625;4011249564;3052751868;499;281;7319282134;84;6361912216;743;819;416;225;613;715;418
1979;2963336549;2777047744;632;4206555109;3362163381;523;302;7382114234;94;6508838972;742;823;423;237;633;733;436
1980;3075938956;2808038075;634;4399925716;3676572529;547;325;7498103152;103;6528413007;741;835;428;246;651;746;442
1981;3131865519;2984169408;633;4524951206;3926622984;564;348;7584512345;116;6583832154;739;841;432;257;669;747;446
1982;3263666364;3481624758;631;4596733794;4194937335;58;363;7584364914;124;6584735212;727;844;44;273;675;768;446
1983;316353471;3582625735;624;4671313451;4354206966;586;371;7595060123;131;6591837999;718;846;443;276;679;761;441
1984;3109294748;3545308311;621;4766908276;4512403027;591;368;7586911601;135;6574986233;721;851;462;28;682;759;441
1985;313796588;3613334795;618;479098841;45747782;59;357;7592343971;135;6579819852;708;853;465;275;69;75;438
1986;3119871923;3724022346;621;4830067763;4653291505;60;347;7614301516;139;6598256091;712;857;467;284;69;757;44
1987;3148642948;3873067535;617;5020987789;4669046648;602;324;7696309168;14;6670603055;72;855;465;304;701;764;439
1988;3108508746;393989071;617;5009981147;467648277;604;308;7762766177;139;6714449816;723;852;462;297;709;756;444
1989;316124031;3909653994;62;5077471585;467815648;605;299;7811191872;141;6701707156;724;846;462;313;716;76;442
1990;3270344407;4082404662;626;5081809432;4720085084;608;294;7886685859;141;6692190193;712;839;473;316;726;776;451
1991;3471183749;3367988118;621;5146880537;4722432481;608;287;7899124597;14;6624147465;711;835;47;326;732;782;455
1992;3393165961;3520235628;61;5134974154;4721939541;597;282;7843518191;145;6562245655;71;83;474;326;732;773;458
1993;3494683208;3577715877;602;5112484404;4763933161;587;285;7726731199;149;6573095014;70;824;464;336;731;78;461
1994;3603267447;3443353129;594;522462176;4798392441;581;285;7581493264;157;6564197772;691;818;47;348;729;788;468
1995;3684480747;3606321839;592;5259940342;4857318101;588;275;7512525621;162;6593694921;696;815;461;359;73;788;479
1996;3896977475;359264854;586;5378988011;486473926;587;271;7503519921;167;6643777883;697;813;464;373;739;798;487
1997;4068568483;3510193413;587;5499946903;4856105033;60;268;751637013;17;6678635548;70;819;47;383;744;81;492
1998;4191240333;3759854457;591;5635124789;492585152;60;27;7548616027;178;672554484;701;821;483;397;751;813;505
1999;4288720191;3863152919;592;5822882288;4981020815;612;281;7583816206;186;6782022113;709;835;478;402;765;811;512
2000;4505776637;4002358491;592;5938985737;4980361649;619;277;7669214284;184;6836599498;709;835;482;41;775;811;518
2001;4586601517;4069028156;594;6071233149;5027514494;63;276;7737522931;19;6857852029;712;851;47;422;775;809;517
2002;4713465821;4113295053;609;618951284;505523346;637;27;7864424394;187;6882995959;705;858;457;411;777;813;515
2003;4793518721;4275854266;611;621694558;5034559774;646;251;7854494815;188;6889448726;706;865;46;417;778;815;509
2004;4788714025;4346649345;613;6191458697;4995089449;642;222;7865074774;182;6845473436;708;865;447;421;778;807;505
2005;4767275409;4310036784;614;6150098432;4979185139;634;206;7906712173;179;6857122114;699;86;451;416;775;812;50
2006;4679029957;4449933107;616;6017284465;4921091439;63;186;7868630551;168;6829759443;696;859;441;408;774;812;498
2007;4760502633;4310045895;614;5941199314;4900045935;625;176;7872141311;168;6787492278;702;854;441;407;771;821;493
2008;47570834;4271173041;607;5930576517;4888802678;624;178;7919632674;165;6759402834;702;852;433;407;772;817;494
2009;4866722357;4334892051;61;5848958333;4884047414;628;181;795329087;168;6796979204;693;851;433;407;771;82;494
2010;4873004227;4206672091;613;5901025521;4875798769;625;176;7961862451;172;6792810557;69;85;431;402;77;817;493
2011;5003718193;427734375;612;587423969;4818041792;622;182;7943281184;175;6842673015;695;848;431;401;767;819;492
